OXY,XLE
OMC,XLC
OKE,XLE
ORCL,XLK
PCAR,XLI
PKG,XLB
PH,XLI
PAYX,XLK
PYPL,XLK
PNR,XLI
PBCT,XLF
PEP,XLP
PKI,XLV
PRGO,XLV
PFE,XLV
PCG,XLU
PM,XLP
PSX,XLE
PNW,XLU
PXD,XLE
PNC,XLF
RL,XLY
PPG,XLB
PPL,XLU
PX,XLB
PFG,XLF
PG,XLP
PGR,XLF
PLD,XLRE
PRU,XLF
PEG,XLU
PSA,XLRE
PHM,XLY
PVH,XLY
QRVO,XLK
QCOM,XLK
PWR,XLI
DGX,XLV
RRC,XLE
RJF,XLF
RTN,XLI
O,XLRE
RHT,XLK
REG,XLRE
REGN,XLV
RF,XLF
RSG,XLI
RMD,XLV
RHI,XLI
ROK,XLI
COL,XLI
ROP,XLI
ROST,XLY
RCL,XLY
SPGI,XLF
CRM,XLK
SBAC,XLRE
SCG,XLU
SLB,XLE
STX,XLK
SEE,XLB
SRE,XLU
SHW,XLB
SPG,XLRE
SWKS,XLK
SLG,XLRE
SNA,XLI
SO,XLU
LUV,XLI
SWK,XLI
SBUX,XLY
STT,XLF
SRCL,XLI
SYK,XLV
STI,XLF
SIVB,XLF
SYMC,XLK
SYF,XLF
SNPS,XLK
SYY,XLP
TROW,XLF
TTWO,XLC
TPR,XLY
TGT,XLY
TEL,XLK
FTI,XLE
TXN,XLK
TXT,XLI
BK,XLF
CLX,XLP
COO,XLV
HSY,XLP
MOS,XLB
TRV,XLF
DIS,XLC
TMO,XLV
TIF,XLY
TWX,XLC
TJX,XLY
TMK,XLF
TSS,XLK
TSCO,XLY
TDG,XLI
TRIP,XLC
FOXA,XLC
FOX,XLC
TSN,XLP
USB,XLF
UDR,XLRE
ULTA,XLY
UAA,XLY
UA,XLY
UNP,XLI
UAL,XLI
UNH,XLV
UPS,XLI
URI,XLI
UTX,XLI
UHS,XLV
UNM,XLF
VFC,XLY
VLO,XLE
VAR,XLV
VTR,XLRE
VRSN,XLK
VRSK,XLI
VZ,XLC
VRTX,XLV
VIAB,XLC
V,XLK
VNO,XLRE
VMC,XLB
WMT,XLP
WBA,XLP
WM,XLI
WAT,XLV
WEC,XLU
WFC,XLF
WELL,XLRE
WDC,XLK
WU,XLK
WRK,XLB
WY,XLRE
WHR,XLY
WMB,XLE
WLTW,XLF
WYN,XLY
WYNN,XLY
XEL,XLU
XRX,XLK
XLNX,XLK
XL,XLF
XYL,XLI
YUM,XLY
ZBH,XLV
ZION,XLF
ZTS,XLV
